集計年,都道府県コード,都道府県名,産業大分類コード,産業大分類名,年齢,所定内給与額（万円）,年間賞与その他特別給与額（万円）,一人当たり賃金（万円）
2010,01,北海道,H,運輸業，郵便業,45～49歳,26.22,76.87,391.51
2010,01,北海道,H,運輸業，郵便業,50～54歳,25.12,65.19,366.63
2010,01,北海道,H,運輸業，郵便業,55～59歳,22.99,58.8,334.68
2010,01,北海道,H,運輸業，郵便業,60～64歳,16.46,22.69,220.21
2010,01,北海道,H,運輸業，郵便業,65～69歳,15.29,16.86,200.34
2010,01,北海道,H,運輸業，郵便業,70歳～,14.19,10.18,180.46
2010,01,北海道,I,卸売業，小売業,年齢計,27.16,63.89,389.81
2010,01,北海道,I,卸売業，小売業,～19歳,16.05,7.33,199.93
2010,01,北海道,I,卸売業，小売業,20～24歳,18.7,23.92,248.32
2010,01,北海道,I,卸売業，小売業,25～29歳,21.37,39.04,295.48
2010,01,北海道,I,卸売業，小売業,30～34歳,23.89,44.45,331.13
2010,01,北海道,I,卸売業，小売業,35～39歳,27.12,65.59,391.03
2010,01,北海道,I,卸売業，小売業,40～44歳,30.77,86.76,456
2010,01,北海道,I,卸売業，小売業,45～49歳,33.65,95.09,498.89
2010,01,北海道,I,卸売業，小売業,50～54歳,33.96,94.18,501.7
2010,01,北海道,I,卸売業，小売業,55～59歳,34.95,96.9,516.3
2010,01,北海道,I,卸売業，小売業,60～64歳,23.5,46.98,328.98
2010,01,北海道,I,卸売業，小売業,65～69歳,21.26,18.44,273.56
2010,01,北海道,I,卸売業，小売業,70歳～,17.87,27.55,241.99
2010,01,北海道,J,金融業，保険業,年齢計,31.93,109.93,493.09
2010,01,北海道,J,金融業，保険業,～19歳,15.55,12.45,199.05
2010,01,北海道,J,金融業，保険業,20～24歳,18.58,42.43,265.39
2010,01,北海道,J,金融業，保険業,25～29歳,22.38,71.16,339.72
2010,01,北海道,J,金融業，保険業,30～34歳,25.07,84.12,384.96
2010,01,北海道,J,金融業，保険業,35～39歳,29.5,100.55,454.55
2010,01,北海道,J,金融業，保険業,40～44歳,35.19,124.79,547.07
2010,01,北海道,J,金融業，保険業,45～49歳,41.16,151.51,645.43
2010,01,北海道,J,金融業，保険業,50～54歳,42.46,164.21,673.73
2010,01,北海道,J,金融業，保険業,55～59歳,41.21,152.09,646.61
2010,01,北海道,J,金融業，保険業,60～64歳,26.67,72.06,392.1
2010,01,北海道,J,金融業，保険業,65～69歳,25.69,52.74,361.02
2010,01,北海道,J,金融業，保険業,70歳～,32.5,75.91,465.91
2010,01,北海道,K,不動産業，物品賃貸業,年齢計,27.45,80.12,409.52
2010,01,北海道,K,不動産業，物品賃貸業,～19歳,15.12,9.71,191.15
2010,01,北海道,K,不動産業，物品賃貸業,20～24歳,19.19,35.89,266.17
2010,01,北海道,K,不動産業，物品賃貸業,25～29歳,20.32,37.12,280.96
2010,01,北海道,K,不動産業，物品賃貸業,30～34歳,23.41,62.6,343.52
2010,01,北海道,K,不動産業，物品賃貸業,35～39歳,27.38,76.54,405.1
2010,01,北海道,K,不動産業，物品賃貸業,40～44歳,29.93,91.71,450.87
2010,01,北海道,K,不動産業，物品賃貸業,45～49歳,31.93,103.11,486.27
2010,01,北海道,K,不動産業，物品賃貸業,50～54歳,37.73,128.18,580.94
2010,01,北海道,K,不動産業，物品賃貸業,55～59歳,35.09,120.64,541.72
2010,01,北海道,K,不動産業，物品賃貸業,60～64歳,23.9,74.47,361.27
2010,01,北海道,K,不動産業，物品賃貸業,65～69歳,13.77,10.55,175.79
2010,01,北海道,K,不動産業，物品賃貸業,70歳～,12.56,0,150.72
2010,01,北海道,L,学術研究，専門・技術サービス業,年齢計,31.98,97.64,481.4
2010,01,北海道,L,学術研究，専門・技術サービス業,～19歳,16.44,29.82,227.1
2010,01,北海道,L,学術研究，専門・技術サービス業,20～24歳,18.95,37.98,265.38
2010,01,北海道,L,学術研究，専門・技術サービス業,25～29歳,23.23,60.19,338.95
2010,01,北海道,L,学術研究，専門・技術サービス業,30～34歳,27.65,69.22,401.02
2010,01,北海道,L,学術研究，専門・技術サービス業,35～39歳,28.84,84.58,430.66
2010,01,北海道,L,学術研究，専門・技術サービス業,40～44歳,36.11,112.58,545.9
2010,01,北海道,L,学術研究，専門・技術サービス業,45～49歳,36.27,129.35,564.59
2010,01,北海道,L,学術研究，専門・技術サービス業,50～54歳,45.48,194.12,739.88
2010,01,北海道,L,学術研究，専門・技術サービス業,55～59歳,39.49,125.35,599.23
2010,01,北海道,L,学術研究，専門・技術サービス業,60～64歳,34.94,61.17,480.45
2010,01,北海道,L,学術研究，専門・技術サービス業,65～69歳,29.09,28.73,377.81
2010,01,北海道,L,学術研究，専門・技術サービス業,70歳～,-,-,-
2010,01,北海道,M,宿泊業，飲食サービス業,年齢計,21.02,24.56,276.8
2010,01,北海道,M,宿泊業，飲食サービス業,～19歳,14.21,9.75,180.27
2010,01,北海道,M,宿泊業，飲食サービス業,20～24歳,16.35,20.32,216.52
2010,01,北海道,M,宿泊業，飲食サービス業,25～29歳,17.82,15.08,228.92
2010,01,北海道,M,宿泊業，飲食サービス業,30～34歳,21.17,15.67,269.71
2010,01,北海道,M,宿泊業，飲食サービス業,35～39歳,21.15,26.18,279.98
2010,01,北海道,M,宿泊業，飲食サービス業,40～44歳,25.81,52.82,362.54
2010,01,北海道,M,宿泊業，飲食サービス業,45～49歳,23.62,36.72,320.16
2010,01,北海道,M,宿泊業，飲食サービス業,50～54歳,24.71,32.33,328.85
2010,01,北海道,M,宿泊業，飲食サービス業,55～59歳,25.44,26.61,331.89
2010,01,北海道,M,宿泊業，飲食サービス業,60～64歳,18.65,6.69,230.49
2010,01,北海道,M,宿泊業，飲食サービス業,65～69歳,15.7,5.53,193.93
2010,01,北海道,M,宿泊業，飲食サービス業,70歳～,13,9.41,165.41
2010,01,北海道,N,生活関連サービス業，娯楽業,年齢計,21.68,28.82,288.98
2010,01,北海道,N,生活関連サービス業，娯楽業,～19歳,16.51,2.63,200.75
2010,01,北海道,N,生活関連サービス業，娯楽業,20～24歳,17.31,11.74,219.46
2010,01,北海道,N,生活関連サービス業，娯楽業,25～29歳,19.53,30.04,264.4
2010,01,北海道,N,生活関連サービス業，娯楽業,30～34歳,21.64,28.98,288.66
2010,01,北海道,N,生活関連サービス業，娯楽業,35～39歳,24.51,37.28,331.4
2010,01,北海道,N,生活関連サービス業，娯楽業,40～44歳,26.71,45.39,365.91
2010,01,北海道,N,生活関連サービス業，娯楽業,45～49歳,28.74,52.26,397.14
2010,01,北海道,N,生活関連サービス業，娯楽業,50～54歳,26.25,43.29,358.29
2010,01,北海道,N,生活関連サービス業，娯楽業,55～59歳,23.52,31.17,313.41
2010,01,北海道,N,生活関連サービス業，娯楽業,60～64歳,19,7.75,235.75
2010,01,北海道,N,生活関連サービス業，娯楽業,65～69歳,15.55,1.99,188.59
2010,01,北海道,N,生活関連サービス業，娯楽業,70歳～,13.87,1.91,168.35
2010,01,北海道,O,教育，学習支援業,年齢計,33.53,114.42,516.78
2010,01,北海道,O,教育，学習支援業,～19歳,-,-,-
2010,01,北海道,O,教育，学習支援業,20～24歳,18.76,39.33,264.45
2010,01,北海道,O,教育，学習支援業,25～29歳,20.67,58.18,306.22
2010,01,北海道,O,教育，学習支援業,30～34歳,27.82,75.27,409.11
2010,01,北海道,O,教育，学習支援業,35～39歳,33.11,106.17,503.49
2010,01,北海道,O,教育，学習支援業,40～44歳,37.85,143.87,598.07
2010,01,北海道,O,教育，学習支援業,45～49歳,38.02,153.82,610.06
2010,01,北海道,O,教育，学習支援業,50～54歳,43.25,150.77,669.77
2010,01,北海道,O,教育，学習支援業,55～59歳,44.09,177.3,706.38
2010,01,北海道,O,教育，学習支援業,60～64歳,36.46,136.89,574.41
2010,01,北海道,O,教育，学習支援業,65～69歳,44.72,104.29,640.93
2010,01,北海道,O,教育，学習支援業,70歳～,86,304,1336
